6.3599056,6.371338,0.0,0.0.1,0.0.2,0.0.3,5.8083298,6.2004209
0.38418217974936236,-1.2043833124523684,0.0,0.0,0.0,0.0,-0.2873123715039633,0.25037699548508063
-6.2319658850577,-6.3550746775484015,0.0,0.0,0.0,0.0,-5.081384748906883,-4.9287406961673454
-7.41472890346205,-7.104210672331671,0.0,0.0,0.0,0.0,-5.286459983809841,-6.675071038466454
-7.557206959416657,-7.167238991800149,0.0,0.0,0.0,0.0,-4.9634488238656145,-7.268891901512885
-12.54217860023499,-12.055837166749301,0.0,0.0,0.0,0.0,-8.943478997314475,-11.12644425793181
-19.954925802734397,-18.6458509358988,0.0,0.0,0.0,0.0,-15.904219735595827,-17.13587895127402
-15.288707790892584,-14.09429278595873,0.0,0.0,0.0,0.0,-13.04138420607142,-12.97584986827814
-5.1306011687112365,-5.933646690459494,0.0,0.0,0.0,0.0,-4.722862143023638,-4.419207376087267
-7.26055996248311,-8.866110054781915,0.0,0.0,0.0,0.0,-5.251354869194119,-7.121947680207761
-1.0313596719656426,-2.189543538938752,0.0,0.0,0.0,0.0,0.12806201412255,0.3891028324245737
-0.5240161471027687,-0.6229233182830737,0.0,0.0,0.0,0.0,-0.8951986054531239,2.3518156895836113
-3.9427919644833915,-2.99723498739326,0.0,0.0,0.0,0.0,-1.2695160174204512,-2.5128005386686216
7.965793133710988,8.159496438176145,0.0,0.0,0.0,0.0,10.62416697649782,8.374885834186328
-3.200179785438538,-2.2847323617186683,0.0,0.0,0.0,0.0,-0.7935260460569107,-2.1265394992495423
-14.8970304340985,-14.67178640864019,0.0,0.0,0.0,0.0,-11.593533441043427,-14.577193868604672
-7.092683913472592,-10.53793522950618,0.0,0.0,0.0,0.0,-6.844090187643608,-7.274375225763272
-7.42005821986004,-9.450213885795767,0.0,0.0,0.0,0.0,-7.948283772290088,-6.600376396160258
-7.757857133164357,-7.6616099073874295,0.0,0.0,0.0,0.0,-6.836424425708143,-5.914395233339662
